Time,total,unique
20-Jun-2022 17:14:00,23676,15662
21-Jun-2022 17:15:28,23713,15679
22-Jun-2022 17:11:49,23735,15692
23-Jun-2022 17:11:17,23792,15717
24-Jun-2022 17:11:29,23817,15727
25-Jun-2022 17:07:49,23840,15741
26-Jun-2022 17:07:32,23858,15749
27-Jun-2022 17:12:02,23883,15756
28-Jun-2022 17:14:57,23898,15760
29-Jun-2022 17:30:26,23924,15768
30-Jun-2022 17:14:04,23940,15781
01-Jul-2022 17:13:57,23961,15786
02-Jul-2022 17:07:53,23980,15793
03-Jul-2022 17:07:50,24004,15798
04-Jul-2022 17:11:46,24016,15802
05-Jul-2022 17:15:06,24042,15811
06-Jul-2022 17:13:23,24067,15822
07-Jul-2022 17:15:41,24100,15833
08-Jul-2022 17:14:40,24148,15864
09-Jul-2022 17:07:43,24189,15894
10-Jul-2022 17:09:04,24213,15899
11-Jul-2022 17:14:18,24225,15907
12-Jul-2022 17:12:20,24223,15908
13-Jul-2022 17:12:59,24255,15918
14-Jul-2022 17:17:57,24304,15943
15-Jul-2022 17:13:50,24361,15982
16-Jul-2022 17:07:50,24387,16001
17-Jul-2022 17:08:34,24387,16003
18-Jul-2022 17:14:53,24394,16004
19-Jul-2022 17:15:13,24414,16020
20-Jul-2022 17:12:10,24454,16040
21-Jul-2022 17:11:14,24475,16052
22-Jul-2022 17:14:59,24501,16064
23-Jul-2022 17:09:38,24513,16068
24-Jul-2022 17:10:27,24544,16084
25-Jul-2022 17:10:59,24568,16090
26-Jul-2022 17:11:03,24589,16100
27-Jul-2022 17:13:25,24595,16100
28-Jul-2022 17:14:55,24623,16108
29-Jul-2022 17:12:07,24654,16119
30-Jul-2022 17:08:32,24665,16120
31-Jul-2022 17:08:49,24688,16135
01-Aug-2022 17:12:59,24694,16137
02-Aug-2022 17:10:55,24708,16145
03-Aug-2022 17:10:49,24740,16165
04-Aug-2022 17:12:59,24741,16171
05-Aug-2022 17:13:08,24745,16168
06-Aug-2022 17:08:13,24759,16172
07-Aug-2022 17:07:58,24762,16176
08-Aug-2022 17:11:54,24780,16186
09-Aug-2022 17:10:09,24791,16191
10-Aug-2022 17:13:18,24794,16190
11-Aug-2022 17:09:32,24809,16197
12-Aug-2022 17:15:09,24830,16204
13-Aug-2022 17:08:17,24841,16211
14-Aug-2022 17:08:23,24859,16214
15-Aug-2022 17:12:37,24856,16214
16-Aug-2022 17:12:01,24866,16220
17-Aug-2022 17:14:00,24874,16224
18-Aug-2022 17:19:12,24885,16224
19-Aug-2022 17:13:54,24901,16235
20-Aug-2022 17:08:12,24902,16229
21-Aug-2022 17:09:12,18500,12579
22-Aug-2022 17:09:39,24926,16241
23-Aug-2022 17:10:19,24939,16246
24-Aug-2022 17:11:04,24952,16258
25-Aug-2022 17:10:43,24962,16261
26-Aug-2022 17:11:11,24984,16268
27-Aug-2022 17:08:39,25002,16272
28-Aug-2022 17:09:14,25011,16276
29-Aug-2022 17:11:00,25023,16278
30-Aug-2022 17:13:42,25033,16282
31-Aug-2022 17:11:52,25035,16284
01-Sep-2022 17:11:48,25049,16292
02-Sep-2022 17:12:03,25048,16293
03-Sep-2022 17:09:05,25061,16299
04-Sep-2022 17:09:57,25067,16300
05-Sep-2022 17:10:35,25076,16303
06-Sep-2022 17:12:56,25086,16301
07-Sep-2022 17:14:05,25100,16301
08-Sep-2022 17:14:45,25128,16313
09-Sep-2022 17:13:20,25143,16323
10-Sep-2022 17:11:02,25157,16331
11-Sep-2022 17:11:31,25167,16338
12-Sep-2022 17:15:53,25177,16339
13-Sep-2022 17:13:09,25180,16337
14-Sep-2022 17:14:34,25194,16345
15-Sep-2022 17:13:55,25211,16353
16-Sep-2022 17:13:30,25225,16366
17-Sep-2022 17:12:17,25221,16370
18-Sep-2022 17:12:28,25223,16372
19-Sep-2022 17:14:47,25230,16375
20-Sep-2022 17:14:03,25246,16383
21-Sep-2022 17:17:07,25250,16382
22-Sep-2022 17:15:11,25275,16394
23-Sep-2022 17:15:49,25297,16409
24-Sep-2022 17:11:23,25322,16416
25-Sep-2022 17:12:10,25343,16425
26-Sep-2022 17:15:32,25356,16429
27-Sep-2022 17:19:33,25388,16441
28-Sep-2022 17:20:02,25423,16462
29-Sep-2022 17:18:51,25448,16472
30-Sep-2022 17:20:07,25447,16475
01-Oct-2022 17:14:24,25462,16479
02-Oct-2022 17:13:48,25464,16479
03-Oct-2022 17:20:32,25470,16480
04-Oct-2022 17:19:10,25470,16482
05-Oct-2022 17:35:26,25492,16496
06-Oct-2022 17:19:14,25498,16498
07-Oct-2022 17:19:47,25511,16502
08-Oct-2022 17:13:46,25511,16507
09-Oct-2022 17:14:22,25514,16501
10-Oct-2022 17:19:07,25525,16502
11-Oct-2022 17:18:10,25523,16502
12-Oct-2022 17:27:45,25546,16512
13-Oct-2022 17:18:56,25570,16519
14-Oct-2022 17:17:29,25587,16522
15-Oct-2022 17:15:18,25613,16536
16-Oct-2022 17:15:02,25624,16544
17-Oct-2022 17:25:22,25640,16554
18-Oct-2022 17:20:48,25654,16567
19-Oct-2022 17:23:05,25676,16571
20-Oct-2022 17:20:15,25694,16584
21-Oct-2022 17:19:54,25728,16599
22-Oct-2022 17:15:46,25757,16606
23-Oct-2022 17:15:48,25770,16614
24-Oct-2022 17:20:38,25808,16630
25-Oct-2022 17:26:11,25838,16648
26-Oct-2022 17:14:38,25935,16670
27-Oct-2022 17:15:16,25996,16693
28-Oct-2022 17:11:15,26013,16700
29-Oct-2022 17:10:34,26009,16703
30-Oct-2022 17:11:17,26031,16711
31-Oct-2022 17:15:38,26057,16723
01-Nov-2022 17:16:08,26116,16751
02-Nov-2022 17:17:04,26137,16765
03-Nov-2022 17:13:24,26157,16773
04-Nov-2022 17:11:20,26166,16776
05-Nov-2022 17:08:46,26195,16791
06-Nov-2022 17:10:11,26210,16791
07-Nov-2022 17:10:59,26213,16792
08-Nov-2022 17:15:16,26224,16797
09-Nov-2022 17:11:54,26245,16807
10-Nov-2022 17:12:12,26276,16826
11-Nov-2022 17:11:29,26296,16836
12-Nov-2022 17:09:33,26296,16832
13-Nov-2022 17:09:42,26304,16836
